Baþlýk;Genel;Ýþlemci;;Ýþletim Sistemi;Hafýza / Bellek;;;Ekran;;;;Fiziksel;;;;Kamera;;;;Baðlantý;;;;;;;;Batarya;;Diðer;;
;Üretici;Model;Hýz;;RAM;Dahili Hafýza;Micro SD;Açýklama;Çözünürlük;Ekran Boyutu;Özellikler;Boyutlar (UxGxD);Aðýrlýk;Renkler;Suya Dayanýklýlýk;Açýklama;Megapixel;Özellikler;Ön Kamera Megapixel;Wifi;Bluetooth;GPS;Baðlantý Türü;Micro USB;SÝMBoyutu;SIM Sayýsý;3G Görüntülü Konuþma;Lityum Ýon;Deðiþtirebilir;SAR;Parmak Ýzi Okuyucu;Radyo
Apple iPhone 6 [A1549];Apple;Apple A8;1.4 GHz;iOS;1.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit IPS LCD, capacitive touchscreen, 16M colors;750 x 1334 pixels;4.70 inches;;138.10 x 67.00 x 6.90 mm ;129.00 gram;Gold,Gray, Silver;Yok;8 MP, 3264 x 2448 pixels, autofocus, dual-LED (dual tone) flash;8.0 megapixel;;;802.11 b / g / n;Evet, A2DP;Evet, A-GPS;4G,LTE;Hayýr;nano;1;Yok;0 mAh;Hayýr;;Var;Yok
Samsung Galaxy S6 [SM-G920V];Samsung;Exynos 7420;2.1 GHz;Android;3.0 GB;32 GB, 64 GB, 128 GB;;Super AMOLED capacitive touchscreen, 16M colors;2560 x 1440 pixel;5.10 inches;;143.40 x 70.50 x 6.80 mm ;138.00 gram;Siyah, Mavi, Gold, Mor, Kýrmýzý, Beyaz;Var;;16.0 megapixel;;;802.11 b / g / n;Evet;Evet;4G,LTE;Evet;nano;1;Var;2550 mAh;Hayýr;;Var;Var
Apple iPhone 5S [A1533];Apple;Apple A7;1.7 GHz;iOS;;16 GB, 64 GB,;;;;;;;;;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1570 mAh;Hayýr;;Var;Yok
"Apple iPhone 6S [A1688]
";Apple;Apple A9;1.5 GHz;iOS;2.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit widescreen;750 x 1334 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm;143.00 grams;Gold, Grey,Rose Gold,Silver;Yok;;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1715 mAh;Hayýr;;Var;Yok
Apple iPhone SE [A1662];Apple;Apple A9;1.8 GHz;iOS;2.0 GB;16 GB, 64 GB;;Retina HD | 326 ppi | LED-backlit IPS LCD, capacitive touchscreen, 16M colors;640 x 1136 pixels;4.00 inches;;123.80 x 58.60 x 7.60;113.00 grams ;Gold, Grey,Rose Gold,Silver;Yok; 12-megapixel iSight, 1.22µ pixels, True Tone flash, Digital Image Stabilization | Facetime Camera: 1.5 MP, ƒ/2.4 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1715 mAh;Hayýr;;Var;Yok
"Apple iPhone 6S Plus [A1687]
";Apple;Apple A9;1.5 GHz;iOS;2.0 GB;16 GB, 64 GB, 128 GB;;Retina HD | 3D Touch | 401 ppi | LED-backlit widescreen;1080 x 1920 pixels;5.50 inches;;158.20 x 77.90 x 7.30 mm ;192.00 grams ;Gold, Grey,Rose Gold,Silver;Yok;12-megapixel iSight | 1.22µ pixels | True Tone flash | Optical Image Stabilization;;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;2915 mAh;Hayýr;;Var;Yok
Apple iPhone 6 Plus  [A1522];Apple;Apple A8;1.4 GHz;iOS;1.0 GB;16 GB, 64 GB, 128 GB;;LED-backlit IPS LCD, capacitive touchscreen, 16M colors;1080 x 1920 pixels;5.50 inches;;158.10 x 77.80 x 7.10 mm ;;Gold,Gray, Silver;Yok;8 MP, 3264 x 2448 pixels, optical image stabilization, autofocus, dual-LED (dual tone) flash;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;;Hayýr;;Var;Yok
Apple iPhone 5  [A1428];Apple;Apple A6;1.2 GHz;iOS;1.0 GB;16 GB, 32 GB,64GB;;;1136 x 640 pixels;4.00 inches;;123.80 x 58.60 x 7.60 mm ;112.00 grams ;Black,White;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;;Hayýr;;Yok;Yok
Apple iPhone 5C  [A1532];Apple;Apple A6;1.3 GHz;iOS;1.0 GB;8 GB, 16 GB, 32 GB;;;640 x 1136 pixels;4.00 inches;;;;Blue, Cyan, Green, Pink, Purple, Red, White, Yellow;Yok;;8.0 megapixels;;;802.11 b / g / n;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1510 mAh;Hayýr;;Yok;Yok
Apple iPhone 4S [A1387];Apple;Apple A4;1.0 GHz;iOS;512 MB;8 GB, 16 GB, 32 GB, 64 GB;;;960 x 640 pixels;3.50 inches;;115.20 x 58.60 x 9.30 mm;137.00 grams ;Black,White;Yok;;5.0 megapixels;;;802.11 b / g / n;Evet;Evet;3G;Hayýr;Micro;1;Yok;;Hayýr;;Yok;Yok
Apple iPhone 4 [A1332];Apple; Apple A4;512 MB;iOS;1.0 GHz;8 GB, 16 GB, 32 GB, 64 GB;;;960 x 640 pixels;3.50 inches;;115.20 x 58.60 x 9.30 mm ;137.00 grams ;Black,White;Yok;;5.0 megapixels;;;802.11 b / g / n;Evet;Evet;3G;Hayýr;Micro;1;Yok;;Hayýr;;Yok;Yok
Apple iPhone 3GS;Apple;ARM Cortex-A8;833 MHz;iOS;256 MB;8 GB, 16 GB, 32 GB;;;480 × 320 pixels;3.50 inches;;;;;Yok;;3.0 megapixels;;;802.11 b / g / n;Evet;Evet;3G;Hayýr;;1;Yok;;Hayýr;;Yok;Yok
Apple iPhone 7 (Unlocked) [A1660];Apple; Apple A10;2.4 GHz;iOS;2.0 GB;32 GB, 128 GB, 256 GB;;IPS Retina HD display | 326 ppi | Ion-strengthened glass, oleophobic coating;1334 x 750 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm ;138.00 grams ;Black, Gold, Jet Black, Rose Gold, Silver;Yok;Rear: 12 MP - ƒ/1.8 aperture - Optical image stabilization - Quad-LED True Tone flash - 5x Digital Zoom | Front: 7 MP - ƒ/2.2 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;1960 mAh;Hayýr;;Var;Yok
Apple iPhone 7 Plus GSM[A1784];Apple; Apple A10;2.4 GHz;iOS;2.0 GB;32 GB, 128 GB, 256 GB;;IPS Retina HD display | 326 ppi | Ion-strengthened glass, oleophobic coating;1334 x 750 pixels;4.70 inches;;138.30 x 67.10 x 7.10 mm ;188.00 grams ;Black, Gold, Jet Black, Rose Gold, Silver;Yok;Rear: 12 MP - ƒ/1.8 aperture - Optical image stabilization - Quad-LED True Tone flash - 5x Digital Zoom | Front: 7 MP - ƒ/2.2 aperture;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Hayýr;Nano;1;Yok;2900 mAh;Hayýr;;Var;Yok
Samsung Galaxy S7 (Unlocked) [G930F];Samsung;Exynos 7420;2.3 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Quad HD Super AMOLED | Gorilla Glass 5 | 577 ppi;2560 x 1440 pixels;5.10 inches;;142.40 x 69.60 x 7.90 mm ;152.00 grams ;Black, Gold, White, Rose Gold, Silver;Var;Rear: 12 MP, f/1.7, phase detection autofocus, OIS, LED flash | Front: 5 MP, f/1.7, dual video call, Auto HDR;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S5 [SM-G900W8];Samsung;Exynos 7420;2.5 GHz;Android;2.0 GB;16 GB, 32 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;1080 x 1920 pixels;5.10 inches;;142.00 x 72.50 x 8.10 mm ;145.00 grams ;Black, Blue, Gold, White;Var;;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;2800 mAh;Evet;;Var;Var
Samsung Galaxy S7 Edge[SM-G935F];Samsung;Exynos 7420;2.3 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Gorilla Glass 5 | 534 ppi;2560 x 1440 pixels;5.10 inches;;142.40 x 69.60 x 7.90 mm ;152.00 grams ;Black, Gold, White, Rose Gold, Silver;Var;Rear: 12 MP, f/1.7, phase detection autofocus, OIS, LED flash | Front: 5 MP, f/1.7, dual video call, Auto HDR;12.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S4 International  [GT-i9500];Samsung;Exynos 5410;1.6 GHz;Android;2.0 GB;16 GB, 32 GB,64GB;64.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.00 inches;;136.60 x 69.80 x 7.90 mm ;130.00 grams ;Black,White;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Yok;2600 mAh;Evet;;Var;Var
Samsung Galaxy Note 5;Samsung;Exynos 7420;2.1 GHz;Android;4.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;2560 x 1440 pixels;5.70 inches;;153.50 x 78.60 x 8.50 mm ;176.00 grams ;Black, Blue, Gold, White,Green,Red;Var;;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy Note 4;Samsung;Exynos 5433;2.7 GHz;Android;3.0 GB;16 GB, 32 GB ;128.0 GB max + MicroSD 2.0 compatible;Super AMOLED capacitive touchscreen, 16M colors;1440 x 2560 pixels;5.70 inches;;153.50 x 78.60 x 8.50 mm ;176.00 grams ;Black,White;Var;16 MP, 3456 x 4608 pixels, optical image stabilization, autofocus, LED flash;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;nano;1;Yok;3000 mAh;Evet;;Var;Var
Samsung Galaxy S3;Samsung;Exynos 4 Quad 4412;1.5 GHz;Android;2.0 GB;16 GB, 32 GB,64GB;64.0 GB max + MicroSD 2.0 compatible;4.8 in (120 mm) HD SUPER AMOLED with 1280×720 pixels;1280 x 720 pixels;4.80 inches;;136.60 x 70.70 x 8.60 mm ;133.00 grams ;Blue, Red, Gray, White;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Yok;2100 mAh;Evet;;Yok;Var
Samsung Galaxy Note 3;Samsung;Exynos 5 Octa 5420;2.3 GHz;Android;3.0 GB;32 GB;64.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.70 inches;;151.20 x 79.20 x 8.30 mm ;168.00 grams ;Black,White, Gold;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;3G;Var;Micro;1;Yok;3200 mAh;Evet;;Yok;Var
Samsung Galaxy S4 Mini;Samsung;Exynos 5210;1.7 GHz;Android;2.0 GB;16 GB;64.0 GB max + MicroSD 2.0 compatible;;540 x 960 pixels;4.30 inches;;124.60 x 61.30 x 8.90 mm ;107.00 grams ;Black,White;Yok;;8.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;3G;Var;Micro;1;Var;3200 mAh;Evet;;Yok;Var
Galaxy Nexus  [GT-i9250];Samsung;1.2 GHz dual-core ARM Cortex-A9;1.2 GHz;Android;1.0 GB;16 GB;64.0 GB max + MicroSD 2.0 compatible;;1280 x 720 pixels;4.65 inches;;135.50 x 67.90 x 8.90 mm ;135.00 grams ;Black,White;Yok;;5.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;3G;Var;Micro;1;Var;1750 mAh;Evet;;Yok;Var
LG G4 (Unlocked) [H815];LG;Dual-Core 1.8 Ghz ARM Cortex-A57;1.8 GHz;Android;3.0 GB;32 GB;2048.0 GB max + MicroSD 2.0 compatible;;2560 x 1440 pixels;5.50 inches;;148.90 x 76.10 x 9.80 mm ;155.00 grams ;Black,White, Grey;Yok;;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Var;3000 mAh;Evet;;Yok;Yok
LG G3;LG;1. 2.5 GHz Qualcomm Snapdragon 801 MSM8975AC (Dört Çekirdekli) iþlemci,;2.5 GHz;Android;3.0 GB;16 GB, 32 GB ;128.0 GB max + MicroSD 2.0 compatible;True HD-IPS + LCD capacitive touchscreen, 16M colors;1440 x 2560 pixels;5.50 inches;;146.30 x 74.60 x 8.90 mm ;149.00 grams ;Black, Gold, White, Purple, Silver, Blue;Yok;;"13.0 megapixels
";;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Var;3000 mAh;Evet;;Yok;Yok
LG V10;LG;6-çekirdekli Snapdragon 808 iþlemci;1.4 GHz;Android;4.0 GB;64 GB;128.0 GB max + MicroSD 2.0 compatible;;1440 x 2560 pixels;5.70 inches;;159.60 x 79.30 x 8.60 mm ;192.00 grams ;Black, Gold, White, Blue;Yok;Rear: 16 MP, 5312 x 2988 pixels, laser autofocus, optical image stabilization, LED flash | Front: 5 MP Duo;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;3000 mAh;Evet;;Var;Yok
LG G5;LG;Snapdragon 820 Qualcomm;2.2 GHz;Android;4.0 GB;32.0 GB;2048.0 GB max + MicroSD 2.0 compatible;IPS Quantum Display | 554 ppi | Gorilla Glass 4;2560 x 1440 pixels;5.30 inches;;149.40 x 73.90 x 7.70 mm ;159.00 grams ;Gold, Grey, Pink, Silver;Yok;Rear: 16 MP (f/1.8) + 8 MP (f/2.4), laser autofocus, OIS, LED flash | Front: 8 MP, 1080p@30fps;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;2800 mAh;Evet;;Var;Yok
LG G2;LG;Quad core, 2260 MHz, Krait 400;2.3 GHz;Android;2.0 GB;32.0 GB;;;1920 x 1080 pixels;5.20 inches;;138.50 x 70.90 x 8.90 mm ;143.00 grams ;Black,White;Yok;;13.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Var;3000 mAh;Evet;;Yok;Yok
LG V20;LG;Qualcomm MSM8996 Snapdragon 820;2.1 GHz;Android;4.0 GB;32 GB, 64 GB ;256.0 GB max + MicroSD 2.0 compatible;IPS LCD capacitive touchscreen, 16M colors | 513 ppi | Gorilla Glass 4;1440 x 2560 pixels;5.70 inches;;159.70 x 78.10 x 7.60 mm ;174.00 grams ;Grey, Pink, Silver;Yok;Rear: Dual 16 MP, f/1.8 & 8 MP, f/2.4, laser & phase detection autofocus, 2x optical zoom, OIS, dual-LED flash | Front: 5 MP, f/1.9;16.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;nano;1;Var;3200 mAh;Evet;;Var;Yok
LG Optimus L90;LG;Qualcomm MSM8226 Snapdragon 400;1.2 GHz;Android;1.0 GB;;32.0 GB max + MicroSD 2.0 compatible;;540 x 960 pixels;4.70 inches;;131.60 x 66.00 x 9.70 mm ;126.00 grams ;Black,White;Yok;8 MP/ 5 MP (market dependent), autofocus, LED flash;8.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Var;2540 mAh;Evet;;Yok;Yok
Sony Xperia Z5 Premium;Sony;Qualcomm Snapdragon 810 (MSM8994) 64 bit;2.0 GHz;Android;3.0 GB;32 GB;200.0 GB max + MicroSD 2.0 compatible;Triluminous / X-Reality IPS LCD capacitive touchscreen, 16M colors | Scratch Resistant | 806 ppi;2160 x 3840 pixels;5.50 inches;;154.40 x 75.80 x 7.80 mm ;180.00 grams ;Black, Gold, Silver;Var;Rear: 23 MP Sony Exmor RS™, Hybrid Auto Focus 0.03 sec, 4K video | Front: 5 MP front camera Sony Exmor R™, Wide angle lens;23.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;3430 mAh;Evet;;Var;Var
Sony Xperia Z3;Sony;Qualcomm MSM8974AC Snapdragon 801;2.5 GHz;Android;2.0 GB;16 GB;128.0 GB max + MicroSD 2.0 compatible;IPS LCD capacitive touchscreen, 16M colors;720 x 1280 pixels;4.60 inches;;127.30 x 64.90 x 8.60 mm ;129.00 grams ;Black,White, Red, Green;Var;;20.7 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;2600 mAh;Evet;;Yok;Var
Sony Xperia Z ;Sony;;1.5 GHz;Android;2.0 GB;16 GB;64.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.00 inches;;139.00 x 71.00 x 7.90 mm ;146.00 grams ;Black,White;Var;;13.1 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Micro;1;Var;2330 mAh;Evet;;Yok;Var
Sony Xperia X (Unlocked) [F5121];Sony;Qualcomm MSM8956 Snapdragon 650;1.8 GHz;Android;3.0 GB;32 GB, 64 GB ;256.0 GB max + MicroSD 2.0 compatible;IPS LCD capacitive touchscreen, 16M colors | 441 ppi;1080 x 1920 pixels;5.00 inches;;142.70 x 69.40 x 7.90 mm ;153.00 grams ;Black, Gold, Rose Gold, White;Var;"Rear: 23 MP, f/2.0, 24mm, phase detection autofocus, LED flash | Front: 13 MP, f/2.0, 22mm, 1/3"" sensor size, 1080p";23.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;2620 mAh;Evet;;Yok;Var
HTC One M8;HTC;Qualcomm MSM8974AB Snapdragon 801;2.3 GHz;Android;2.0 GB;16 GB, 32 GB,64GB;128.0 GB max + MicroSD 2.0 compatible;Super LCD3 capacitive touchscreen, 16M colors;1080 x 1920 pixels;5.00 inches;;146.40 x 70.60 x 9.40 mm ;160.00 grams ;Gold, Grey, Red, Silver;Yok;Dual 4 MP, 2688?1520 pixels, autofocus, dual-LED (dual tone) flash;4.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;2600 mAh;Evet;;Yok;Var
HTC One M9 (Unlocked);HTC;Qualcomm Snapdragon 810 MSM8994;2.0 GHz;Android;3.0 GB;32 GB, 64 GB ;128.0 GB max + MicroSD 2.0 compatible;;1080 x 1920 pixels;5.00 inches;;144.60 x 69.70 x 9.60 mm ;157.00 grams ;Gold, Grey, Silver;Yok;;20.7 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Nano;1;Var;2600 mAh;Evet;;Yok;Var
HTC EVO 4G ;HTC;Dual core, 1500 MHz, Snapdragon S4 Krait;1.5 GHz;Android;1.0 GB;16 GB;32.0 GB max + MicroSD 2.0 compatible;;1280 x 720 pixels;4.70 inches;;134.80 x 68.90 x 8.90 mm ;134.00 grams ;Black,White;Yok;;8.0 megapixels;;;802.11 b / g / n / ac;Evet;Evet;4G,LTE;Var;Mini;1;Var;2000 mAh;Evet;;Yok;Var
